id,lat,long,date,time,diff,hr,weekday,Timestamp
1,36.066457,24.88258237,2014-01-06,07:20,0,07,Mon,2014-01-05T23:20:01Z
1,36.06365789,24.88586563,2014-01-06,07:22,35,07,Mon,2014-01-05T23:22:04Z
1,36.04802854,24.87957475,2014-01-06,08:04,253,08,Mon,2014-01-06T00:04:09Z
1,36.07666279,24.85759134,2014-01-06,12:26,59,12,Mon,2014-01-06T04:26:27Z
1,36.04802866,24.87957231,2014-01-06,13:34,250,13,Mon,2014-01-06T05:34:27Z
1,36.06648711,24.88260233,2014-01-06,17:48,108,17,Mon,2014-01-06T09:48:03Z
1,36.07527609,24.85641875,2014-01-06,19:42,7,19,Mon,2014-01-06T11:42:27Z
1,36.07528409,24.85631951,2014-01-06,19:49,38,19,Mon,2014-01-06T11:49:01Z
1,36.06643427,24.88256897,2014-01-06,20:33,98,20,Mon,2014-01-06T12:33:30Z
1,36.04802174,24.87956959,2014-01-06,22:15,46,22,Mon,2014-01-06T14:15:02Z
1,36.04802471,24.87957304,2014-01-06,23:01,129,23,Mon,2014-01-06T15:01:01Z
1,36.06643937,24.88259434,2014-01-07,01:14,126,01,Tue,2014-01-06T17:14:02Z
1,36.06645565,24.88262136,2014-01-07,03:20,240,03,Tue,2014-01-06T19:20:01Z
1,36.06368971,24.88589695,2014-01-07,07:22,34,07,Tue,2014-01-06T23:22:04Z
1,36.04803209,24.87956582,2014-01-07,08:03,246,08,Tue,2014-01-07T00:03:09Z
1,36.05974513,24.8580631,2014-01-07,12:15,88,12,Tue,2014-01-07T04:15:16Z
1,36.04802476,24.87957126,2014-01-07,13:49,231,13,Tue,2014-01-07T05:49:16Z
1,36.06648972,24.88262874,2014-01-07,17:44,67,17,Tue,2014-01-07T09:44:03Z
1,36.05196951,24.87082156,2014-01-07,18:55,106,18,Tue,2014-01-07T10:55:52Z
1,36.06647516,24.88265566,2014-01-07,20:52,655,20,Tue,2014-01-07T12:52:01Z
