id,lat,long,date,time,diff,hr,weekday,Timestamp,period
1,36.066457,24.88258237,6/1/14,7:20,0,7,Mon,2014-01-05T23:20:01Z,morning
1,36.06365789,24.88586563,6/1/14,7:22,35,7,Mon,2014-01-05T23:22:04Z,morning
1,36.04802854,24.87957475,6/1/14,8:04,253,8,Mon,2014-01-06T00:04:09Z,morning
1,36.07666279,24.85759134,6/1/14,12:26,59,12,Mon,2014-01-06T04:26:27Z,lunch
1,36.04802866,24.87957231,6/1/14,13:34,250,13,Mon,2014-01-06T05:34:27Z,lunch
1,36.06648711,24.88260233,6/1/14,17:48,108,17,Mon,2014-01-06T09:48:03Z,afternoon
1,36.07527609,24.85641875,6/1/14,19:42,7,19,Mon,2014-01-06T11:42:27Z,afternoon
1,36.07528409,24.85631951,6/1/14,19:49,38,19,Mon,2014-01-06T11:49:01Z,afternoon
1,36.06643427,24.88256897,6/1/14,20:33,98,20,Mon,2014-01-06T12:33:30Z,dinner
1,36.04802174,24.87956959,6/1/14,22:15,46,22,Mon,2014-01-06T14:15:02Z,night
1,36.04802471,24.87957304,6/1/14,23:01,129,23,Mon,2014-01-06T15:01:01Z,night
1,36.06643937,24.88259434,7/1/14,1:14,126,1,Tue,2014-01-06T17:14:02Z,midnight
1,36.06645565,24.88262136,7/1/14,3:20,240,3,Tue,2014-01-06T19:20:01Z,midnight
1,36.06368971,24.88589695,7/1/14,7:22,34,7,Tue,2014-01-06T23:22:04Z,morning
1,36.04803209,24.87956582,7/1/14,8:03,246,8,Tue,2014-01-07T00:03:09Z,morning
1,36.05974513,24.8580631,7/1/14,12:15,88,12,Tue,2014-01-07T04:15:16Z,lunch
1,36.04802476,24.87957126,7/1/14,13:49,231,13,Tue,2014-01-07T05:49:16Z,lunch
1,36.06648972,24.88262874,7/1/14,17:44,67,17,Tue,2014-01-07T09:44:03Z,afternoon
1,36.05196951,24.87082156,7/1/14,18:55,106,18,Tue,2014-01-07T10:55:52Z,afternoon
1,36.06647516,24.88265566,7/1/14,20:52,655,20,Tue,2014-01-07T12:52:01Z,dinner
1,36.063662,24.88589143,8/1/14,7:49,11,7,Wed,2014-01-07T23:49:04Z,morning
1,36.04802129,24.87957178,8/1/14,8:07,241,8,Wed,2014-01-08T00:07:09Z,morning
1,36.07663318,24.85764339,8/1/14,12:17,91,12,Wed,2014-01-08T04:17:27Z,lunch
1,36.04802996,24.87956965,8/1/14,13:57,234,13,Wed,2014-01-08T05:57:27Z,lunch
1,36.06645539,24.88260676,8/1/14,17:55,83,17,Wed,2014-01-08T09:55:03Z,afternoon
1,36.05196687,24.87077481,8/1/14,19:22,119,19,Wed,2014-01-08T11:22:52Z,afternoon
1,36.04803094,24.87956758,8/1/14,21:29,144,21,Wed,2014-01-08T13:29:01Z,night
1,36.06647822,24.8826179,8/1/14,23:57,203,23,Wed,2014-01-08T15:57:02Z,night
1,36.06645717,24.88261133,9/1/14,3:20,241,3,Thu,2014-01-08T19:20:01Z,midnight
1,36.06364873,24.8858859,9/1/14,7:23,28,7,Thu,2014-01-08T23:23:04Z,morning
1,36.0480261,24.87957354,9/1/14,7:58,251,7,Thu,2014-01-08T23:58:09Z,morning
1,36.0634869,24.85099848,9/1/14,12:17,88,12,Thu,2014-01-09T04:17:17Z,lunch
1,36.04802194,24.8795714,9/1/14,13:53,235,13,Thu,2014-01-09T05:53:17Z,lunch
1,36.06649647,24.88257847,9/1/14,17:52,838,17,Thu,2014-01-09T09:52:03Z,afternoon
1,36.06369802,24.88594687,10/1/14,7:52,16,7,Fri,2014-01-09T23:52:04Z,morning
1,36.04803228,24.87956877,10/1/14,8:15,246,8,Fri,2014-01-10T00:15:09Z,morning
1,36.05192667,24.87078047,10/1/14,12:23,58,12,Fri,2014-01-10T04:23:05Z,lunch
1,36.04803003,24.87956546,10/1/14,13:23,251,13,Fri,2014-01-10T05:23:05Z,lunch
1,36.06646524,24.88263679,10/1/14,17:38,92,17,Fri,2014-01-10T09:38:03Z,afternoon
1,36.08547254,24.8604165,10/1/14,19:20,252,19,Fri,2014-01-10T11:20:01Z,afternoon
1,36.06645991,24.88262309,10/1/14,23:39,780,23,Fri,2014-01-10T15:39:32Z,night
1,36.07666742,24.85757493,11/1/14,12:46,55,12,Sat,2014-01-11T04:46:30Z,lunch
1,36.07526672,24.85633534,11/1/14,13:41,114,13,Sat,2014-01-11T05:41:32Z,lunch
1,36.06650455,24.88260171,11/1/14,15:42,7,15,Sat,2014-01-11T07:42:29Z,afternoon
1,36.06643379,24.88261512,11/1/14,15:49,173,15,Sat,2014-01-11T07:49:01Z,afternoon
1,36.05286975,24.86857115,11/1/14,18:47,60,18,Sat,2014-01-11T10:47:07Z,afternoon
1,36.0664652,24.8826187,11/1/14,19:52,1013,19,Sat,2014-01-11T11:52:07Z,afternoon
1,36.07664647,24.85764328,12/1/14,12:51,80,12,Sun,2014-01-12T04:51:30Z,lunch
1,36.06649666,24.88240653,12/1/14,14:17,57,14,Sun,2014-01-12T06:17:26Z,lunch
1,36.06646999,24.88262915,12/1/14,15:14,982,15,Sun,2014-01-12T07:14:01Z,afternoon
1,36.06366818,24.88594298,13/1/14,7:38,33,7,Mon,2014-01-12T23:38:04Z,morning
1,36.04802493,24.87957582,13/1/14,8:18,237,8,Mon,2014-01-13T00:18:09Z,morning
